Year,MaxLevel_m
1999,17.68
2009,17.62
2021,17.6
2013,17.36
2014,17.27
2022,17.27
2002,16.94
2025,16.92
2019,16.78
2003,16.76
2017,16.71
1997,16.56
2001,16.48
2000,16.44
2023,16.28
2011,16.24
2018,16.15
2006,16.14
2020,16.11
1998,16.05
2016,16.03
2008,15.96
1988,15.83
2005,15.74
2010,15.63
2004,15.55
1983,15.07
2024,14.87
