Year,MaxLevel_m
2025,5.04
2024,4.94
2007,4.85
2014,4.75
1997,4.71
2009,4.7
2021,4.7
2016,4.7
2022,4.65
2019,4.65
2003,4.65
2010,4.65
1976,4.63
1977,4.6
2012,4.6
2013,4.6
2018,4.6
1978,4.58
2015,4.55
2017,4.55
1985,4.55
2008,4.5
2020,4.5
2004,4.45
2002,4.45
2011,4.45
1979,4.43
2006,4.4
2023,4.36
