Year,MinLevel_m
2024,-0.61
2010,0.37
2023,0.76
1998,1.86
1997,1.98
1988,2.75
2005,3.22
2022,3.38
2011,4.0
2006,4.23
2009,4.42
2018,4.86
2000,4.88
2020,4.98
1983,4.98
2017,5.05
1999,5.2
2001,5.32
2016,5.88
2019,5.92
2008,6.04
2002,6.4
2021,7.05
2004,7.4
2013,7.6
2025,7.8
2003,8.18
2014,8.5
