Year,MinLevel_m
2011,1.35
2015,1.35
2007,1.35
1997,1.4
2010,1.4
2018,1.45
2017,1.45
1979,1.45
2016,1.45
2003,1.45
2014,1.45
2012,1.45
2008,1.45
1976,1.46
1985,1.47
2006,1.5
2002,1.5
2020,1.5
1978,1.54
2004,1.55
2021,1.55
2013,1.6
2019,1.6
2009,1.6
1977,1.62
2022,1.65
2023,1.73
2024,3.19
2025,3.32
